Station,Long,Lat,Survey
18-27-LSSC01,-121.66,38.18526,EDSM
18-27-LSSC02,-121.658,38.2003,EDSM
18-27-RV01,-121.69,38.14011,EDSM
18-27-RV02,-121.732,38.0959,EDSM
18-27-SRU01,-121.513,38.40139,EDSM
18-27-SRU02,-121.511,38.577,EDSM
18-28-CS01,-121.727,38.29575,EDSM
18-28-CS02,-121.693,38.28467,EDSM
18-28-CS03,-121.661,38.29188,EDSM
18-28-CS04,-121.689,38.24228,EDSM
18-28-LSSC01,-121.619,38.39829,EDSM
18-28-LSSC02,-121.663,38.26934,EDSM
18-28-RV01,-121.69,38.15366,EDSM
18-28-RV02,-121.702,38.11949,EDSM
18-28-SRU01,-121.54,38.47491,EDSM
18-28-SRU02,-121.506,38.46935,EDSM
18-28-USSC01,-121.584,38.52454,EDSM
18-29-CS04,-121.671,38.25558,EDSM
18-29-CS05,-121.718,38.25028,EDSM
18-29-LSSC01,-121.669,38.2523,EDSM
18-29-LSSC02,-121.648,38.32833,EDSM
18-29-RV01,-121.695,38.13644,EDSM
18-29-RV02,-121.741,38.09143,EDSM
18-29-SRR01,-121.576,38.19019,EDSM
18-29-SRU01,-121.666,38.23489,EDSM
18-29-USSC01,-121.553,38.56184,EDSM
18-30-CS01,-121.667,38.31423,EDSM
18-30-CS03,-121.665,38.27267,EDSM
18-30-CS04,-121.694,38.25491,EDSM
20-11-LSSC01,-121.663,38.18444,EDSM
20-11-LSSC02,-121.599,38.44178,EDSM
20-11-LSSC03,-121.67,38.21436,EDSM
20-18-USSC03,-121.576,38.55578,EDSM
CS1,-121.687,38.25058,EDSM
CS101,-121.734,38.25691,EDSM
CS102,-121.649,38.32861,EDSM
CS2,-121.654,38.30261,EDSM
CS207,-121.671,38.24622,EDSM
CS3,-121.659,38.24616,EDSM
CS51,-121.713,38.27977,EDSM
RV1,-121.724,38.10221,EDSM
SSC51,-121.589,38.4625,EDSM
SSC52,-121.584,38.53688,EDSM
SRH,-121.5199585,38.36798096,EMP
705,-121.762,38.07925,FMWT
706,-121.74,38.0903,FMWT
707,-121.708,38.11397,FMWT
708,-121.697,38.12608,FMWT
709,-121.69,38.14787,FMWT
710,-121.682,38.162,FMWT
711,-121.67,38.17595,FMWT
712,-121.641,38.19042,FMWT
713,-121.66,38.20712,FMWT
715,-121.674,38.22295,FMWT
716,-121.684,38.23787,FMWT
717,-121.631,38.17017,FMWT
719,-121.647,38.33428,FMWT
721,-121.703,38.26815,FMWT
723,-121.673,38.23615,FMWT
795,-121.585,38.5377,FMWT
796,-121.584,38.47387,FMWT
797,-121.616,38.40462,FMWT
RMB,-121.858371,38.842001,NDFA
RCS,-121.725447,38.793457,NDFA
WWT,-121.645775,38.681621,NDFA
RD22,-121.643972,38.676367,NDFA
DWT,-121.638239,38.567057,NDFA
I80,-121.582958,38.573111,NDFA
LIS,-121.588584,38.474816,NDFA
STTD,-121.642975,38.353461,NDFA
BL5,-121.665652,38.27446,NDFA
LIB,-121.6849,38.2421,NDFA
RYI,-121.668591,38.213167,NDFA
RVB,-121.686355,38.159737,NDFA
SHR,-121.527912,38.531881,NDFA
BL5,-121.666,38.27446,NDFA
DWT,-121.638,38.56706,NDFA
I80,-121.583,38.57311,NDFA
LIB,-121.685,38.2421,NDFA
LIS,-121.589,38.47482,NDFA
RCS,-121.725,38.79346,NDFA
RD22,-121.644,38.67637,NDFA
RMB,-121.858,38.842,NDFA
RVB,-121.686,38.15974,NDFA
RYI,-121.669,38.21317,NDFA
STTD,-121.643,38.35346,NDFA
WWT,-121.646,38.68162,NDFA
706,-121.739,38.09006,Townet
707,-121.706,38.11226,Townet
711,-121.669,38.17336,Townet
713,-121.66,38.20712,Townet
716,-121.684,38.23787,Townet
719,-121.647,38.33428,Townet
721,-121.703,38.26815,Townet
723,-121.673,38.23615,Townet
795,-121.585,38.5377,Townet
796,-121.584,38.47387,Townet
797,-121.616,38.40462,Townet
TOE,-121.6447222,38.34916667,USGS
SDI,-121.736,38.0934,USGS
SGG,-121.6924278,38.30785833,USGS
LIBCUT,-121.6675306,38.32885,USGS
SRV,-121.643503,38.172856,USGS
AL1,-121.587,38.5445,Yolo
AL2,-121.589,38.52806,Yolo
AL3,-121.589,38.5185,Yolo
AL4,-121.589,38.49439,Yolo
Alt_Fyke,-121.605,38.43697,Yolo
BL1,-121.591,38.46681,Yolo
BL2,-121.607,38.43189,Yolo
BL3,-121.626,38.38939,Yolo
BL4,-121.642,38.35496,Yolo
BL6,-121.663,38.28247,Yolo
FW1,-121.635,38.74979,Yolo
LI,-121.589,38.47621,Yolo
LIHF,-121.588,38.47417,Yolo
LIHFS,-121.588,38.47417,Yolo
PCS,-121.591,38.46696,Yolo
RD22,-121.644,38.67637,Yolo
SB1,-121.566,38.60417,Yolo
SB2,-121.564,38.60522,Yolo
YB,-121.631,38.56538,Yolo
YBI80,-121.638,38.56531,Yolo
