Station,StationName,Contact,Program,Email,IncludedInDataset,SensorStatus,PositionOfSensorMeasurement,PositionOfSensorAttachment,DistanceFromSensorAttachmentPoint,SensorDepth,ChangesSensorDeployment,InstrumentManufacturer,InstrumentModel,CDECUnits,CDECPrecision,SensorAccuracy,BackupSensor,DataTreated,DataTreatmentDescription,DistanceFromShore,Comments,AdditionalDataSource,StationNumber,StartDateAdditionalData,EndDateAdditionalData
HLL,HOLLAND TRACT,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,Bottom,Bottom,1.8,NA,N,Hach,HL4,F,0.1,0.1,N,Y,"We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages. Do not know date, but most likely in 3/2016.",15,NA,NA,NA,NA,NA
JER,JERSEY POINT,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,Bottom,Bottom,1.2,NA,N,Hach,"MS5 , HL4 (From late 2019 forward)",F,0.1,0.1,N,Y,"We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages. Do not know date, but most likely in 3/2016.",10,NA,NA,NA,NA,NA
PCT,PORT CHICAGO,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,Surface,Bottom,8.5,NA,N,Hach,"MS5 (until 2019), HL4 (From late 2019 forward)",F,0.1,0.1,Y,Y,"We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages. Do not know date, but most likely in 3/2016.",320,Site changed from single sonde deployment to two sonde deployment on 4/06/1999,NA,NA,NA,NA
PCT - Bottom Sensor,PORT CHICAGO,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,N,Active,Bottom,Bottom,5.2,NA,N,Hach,"MS5 (until 2019), HL4 (From late 2019 forward)",NA,0.1,0.1,NA,Y,"We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages. Do not know date, but most likely in 3/2016.",320,Site changed from single sonde deployment to two sonde deployment on 4/06/2000,NA,NA,NA,NA
PTS,PITTSBURG,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,NA,NA,NA,NA,N,Hach,"MS5 (Until 2021), HL4 (From 2021 forward)",F,0.1,0.1,Y,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 3/10/2016,190,Site changed from single sonde deployment to two sonde deployment on 4/05/1999,NA,NA,NA,NA
RIV,RIO VISTA,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,NA,NA,NA,NA,N,Hach,"MS5 (until 2021), HL4 (From 2021 forward)",F,0.1,0.1,N,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 3/8/2016,290,NA,NA,NA,NA,NA
RPN,RIPON,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,NA,NA,NA,NA,N,YSI,YSI 600 OMS V2 (1983 - Present),F,0.1,0.15,N,N,"We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages. Do not know date, but most likely in 3/2016. Was changed back to 15 min instantaneous burst in 2018, but do not know exact date.",0,NA,NA,NA,NA,NA
SAL,SAN ANDREAS LANDING,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,NA,NA,NA,NA,N,Hach,"MS5 (until 2017), HL4 (2017 - Present)",F,0.1,0.1,N,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 2/11/2016,17,NA,NA,NA,NA,NA
STI,STATEN ISLAND,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,NA,NA,NA,NA,N,Hach,"MS5 (until 2017), HL4 (2017 - Present)",F,0.1,0.1,N,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 3/8/2016,30,NA,NA,NA,NA,NA
UNI,UNION ISLAND,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,NA,NA,NA,NA,N,Hach,"MS5 (until 2017), HL4 (2017 - Present)",F,0.1,0.1,N,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 2/11/2016,38,NA,NA,NA,NA,NA
VER,VERNALIS (USBR),Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,NA,NA,NA,NA,N,Hach,"MS5 (2002 - 2017), HL4 (2017 - Present)",F,0.1,0.1,N,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 2/19/2016,20,NA,NA,NA,NA,NA
VIC,VICTORIA ISLAND,Thomas Moser,BOR-Tracy Field Office,TMoser@usbr.gov,Y,Active,NA,Bottom,0.61,NA,N,Hach,"MS5 (Until 2017), HL4 (2017 - Present)","F, C",0.1,0.1,N,Y,We changed the sampling frequency from 15 minute instantaneous to 30 second burst with 15 minute averages on 2/12/2016,12,NA,NA,NA,NA,NA
ANH,SAN JOAQUIN RIVER AT ANTIOCH,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Floating at Surface,1,1,N,YSI(2008-Present); Schneider Instruments (Prior to 2008),"EXO (07 DEC 2016-Present), 6600 (16 OCT 2008-07 DEC 2016), RM25 (Prior to 2008)","F, C",0.1,"0.2 (2014-Present), 0.15 (2008-2014), 0.5 (Prior to 2008)",N,N,NA,60,NA,Water Quality Portal (Internal DES),NA,5/24/1983,10/16/2008
ANH- Bottom Sensor,SAN JOAQUIN RIVER AT ANTIOCH,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,N,Active,Bottom,Bottom,2,7,N,YSI,EXO,NA,0.1,"0.2 (2014-Present), 0.15 (2008-2014), 0.5 (Prior to 2008)",N,NA,NA,60,"Data not reported to CDEC, Sensor depths varies between 5.8 meters to 7.2 meters deep",Water Quality Portal (Internal DES),NA,1/17/2008,present
FRK,FRANK'S TRACT MID TRACT,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Fixed from Surface,"~1m under surface of the water, so it is fixed to the bottom, it does not float up and down with the tide",1,N,YSI,6600,F,0.1,0.15,N,N,NA,1500,Sensor depths vary between 0.8 and 2 feet;,Water Quality Portal (Internal DES),NA,NA,NA
GZB,GRIZZLY BAY BUOY,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Floating at Surface,1,1,N,YSI,EXO,F,0.1,0.2,N,N,NA,1000,Sensor depths vary between 0.67 and 0.76 feet,Water Quality Portal (Internal DES),NA,NA,NA
GZL,GRIZZLY BAY,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Fixed from Surface,"~1m under surface of the water, so it is fixed to the bottom, it does not float up and down with the tide",1,N,YSI,6600,F,0.1,0.15,N,N,NA,2200,Sensor depths vary between 0.45 and 2.2 feet,Water Quality Portal (Internal DES),NA,NA,NA
HON,HONKER BAY,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Fixed from Surface,"~1m under surface of the water, so it is fixed to the bottom, it does not float up and down with the tide",1,N,YSI,6600,F,0.1,0.15,N,N,NA,420,Sensor depths vary between 0.76 and 2.14 feet,Water Quality Portal (Internal DES),NA,NA,NA
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Floating at Surface,1,1,N,YSI(2008-Present); Schneider Instruments (Prior to 2008),"EXO (14 JUL 2015-Present), 6600 ( 06 NOV 2008-14  JUL 2015), RM25 (Prior to 2008)",F,0.1,"0.2 (2014-Present), 0.15 (2008-2014), 0.5 (Prior to 2008)",N,N,NA,60,NA,Water Quality Portal (Internal DES),NA,1/23/1984,10/3/2008
MAL- Bottom Sensor,SACRAMENTO RIVER AT MALLARD ISLAND,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,N,Active,Bottom,Bottom,2,7,N,YSI,"EXO (14 JUL 2015-Present), 6600 ( 06 NOV 2008-14  JUL 2015), RM25 (Prior to 2008)",NA,0.1,"0.2 (2014-Present), 0.15 (2008-2014), 0.5 (Prior to 2008)",N,NA,NA,60,Data not reported to CDEC; Sensor depths vary between 6.1 and 7.6 feet,Water Quality Portal (Internal DES),NA,1/16/2008,present
MRZ,MARTINEZ,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Floating at Surface,1,1,N,YSI(2008-Present); Schneider Instruments (Prior to 2008),"EXO (28 JUL 2014-Present), 6600 (06 FEB 2008-28 JUL 2014), RM25 (Prior to 2008)",F,0.1,"0.2 (2014-Present), 0.15 (2008-2014), 0.5 (Prior to 2008)",N,N,NA,275,NA,Water Quality Portal (Internal DES),NA,5/18/1983,8/21/2008
MRZ- Bottom Sensor,MARTINEZ,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,N,Active,Bottom,Bottom,2,7,N,YSI,"EXO (28 JUL 2014-Present), 6600 (06 FEB 2008-28 JUL 2014), RM25 (Prior to 2008)",NA,0.1,"0.2 (2014-Present), 0.15 (2008-2014), 0.5 (Prior to 2008)",N,NA,NA,275,Data not reported to CDEC; Sensor depths vary between 6.1 and 7.6 feet,Water Quality Portal (Internal DES),NA,12/3/2007,present
MSD,SAN JOAQUIN RIVER AT MOSSDALE BRIDGE,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Floating at Surface,1,1,N,YSI(2008-Present); Schneider Instruments (Prior to 2008),"EXO (22 JUN 2016-Present), 6600 (04 FEB 2008-22 JUN 2016), RM25 (Prior to 2008)","F, C",0.1,"0.2 (2014-Present), 0.15 (2008-2014), 0.5 (Prior to 2008)",Y,N,NA,12,NA,Water Quality Portal (Internal DES),NA,1/23/1984,10/22/2008
PPT,PRISONERS POINT,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Fixed from Surface,1,1,N,YSI,"EXO (14 APR 2018-Present), 6600 (2008-2018)",F,0.1,"0.2 (April 2018-Present), 0.15 (2008-March 2018)",N,N,NA,8,NA,Water Quality Portal (Internal DES),NA,NA,NA
RRI,ROUGH AND READY ISLAND,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Floating at Surface,1,1,N,YSI(2008-Present); Schneider Instruments (Prior to 2008),"EXO (16 MAR 2016-Present), 6600 (06 FEB 2008-16 MAR 2016), RM25 (Prior to 2008)",F,0.1,"0.2 (2014-Present), 0.15 (2008-2014), 0.5 (Prior to 2008)",Y,N,NA,25,NA,Water Quality Portal (Internal DES),NA,5/10/1983,8/28/2000
RRI- Bottom Sensor ,ROUGH AND READY ISLAND,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,N,Active,Bottom,Bottom,6,6.5,N,YSI,EXO,NA,0.1,"0.2 (2014-Present), 0.15 (2008-2014), 0.5 (Prior to 2008)",N,NA,NA,25,Data not reported to CDEC; Sensor depths vary between 6 and 7 feet,Water Quality Portal (Internal DES),NA,1/1/2008,present
RRI- Middle Sensor,ROUGH AND READY ISLAND,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,N,Active,Middle,Bottom,3,4.5,N,YSI,EXO,NA,0.1,"0.2 (2014-Present), 0.15 (2008-2014), 0.5 (Prior to 2008)",N,NA,NA,25,Data not reported to CDEC; Sensor depths vary between 4.27 and 5.2 feet,Water Quality Portal (Internal DES),NA,1/1/2008,present
RVB,SACRAMENTO RIVER AT RIO VISTA BRIDGE,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Floating at Surface,1,1,N,YSI(2008-Present); Schneider Instruments (Prior to 2008),"EXO (19 APR 2016-Present), 6600 (22 SEP 2008-19 APR 2016), RM25 (Prior to 2008)","F, C",0.1,"0.2 (2014-Present), 0.15 (2008-2014), 0.5 (Prior to 2008)",N,N,NA,38,NA,Water Quality Portal (Internal DES),NA,5/16/1983,5/30/2007
RYC,SUISUN BAY – CUTOFF NEAR RYER,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Fixed from Surface,"~1m under surface of the water, so it is fixed to the bottom, it does not float up and down with the tide",2,N,YSI,6600,F,0.1,0.15,N,N,NA,210,Sensor depths vary between 0.91 and 2.44 feet,Water Quality Portal (Internal DES),NA,NA,NA
SJR,SAN JOAQUIN R MCCUNE STATION NR VERNALIS,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Floating at Surface,1,1,N,YSI,"EXO (2014-Present), 6600 (2008-16 APR 2014)","F, C",0.1,"0.2 (2014-Present), 0.15 (2008-2014)",Y,N,NA,8,NA,Water Quality Portal (Internal DES),NA,7/26/2005,10/20/2008
SRH,SACRAMENTO RIVER AT HOOD,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Floating at Surface,1,1,N,YSI(2008-Present); Schneider Instruments (Prior to 2008),"EXO (07 OCT 2015-Present), 6600 (11 MAR 2008-07 OCT 2015), RM25 (Prior to 2008)",F,0.1,"0.2 (2014-Present), 0.15 (2008-2014), 0.5 (Prior to 2008)",Y,N,NA,22,NA,Water Quality Portal (Internal DES),NA,NA,NA
SSI,SACRAMENTO R NR SHERMAN ISLAND,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Floating at Surface,"~1m under surface of the water, so it is fixed to the bottom, it does not float up and down with the tide",1.5,N,YSI,EXO,F,0.1,0.15,N,N,NA,195,Sensor depths vary between 0.8 and 2.1 feet,Water Quality Portal (Internal DES),NA,NA,NA
TWI,SAN JOAQUIN RIVER AT TWITCHELL ISLAND,"Mike Dempsey, Michelle Nelson & Scott Waller",DES-Environmental Monitoring Program,Mike.Dempsey@water.ca.gov; Michelle.Nelson@water.ca.gov; Scott.Waller@water.ca.gov,Y,Active,Surface,Floating at Surface,"~1m under surface of the water, so it is fixed to the bottom, it does not float up and down with the tide",1,N,YSI,6600,F,0.1,0.15,N,N,NA,8,Sensor depths vary between 1.16 and 2.3 feet,Water Quality Portal (Internal DES),NA,NA,NA
BDL,BELDON LANDING,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,EXO 2,F,0.1,0.15,N,N,NA,7,NA,Water Quality Portal (Internal DES),S-49,10/1/1998,present
BLL,BLACKLOCK (NE1),"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,6600,F,0.1,0.15,N,N,NA,5,Channel station; additional data inside flooded island,Water Quality Portal (Internal DES),NA,7/2/2014,11/1/2018
CSE,COLLINSVILLE ON SACRAMENTO RIVER,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,EXO 2,F,0.1,0.15,N,N,NA,50,NA,Water Quality Portal (Internal DES),C2B,10/1/2001,present
CYG,CYGNUS-CORDELIA SLOUGH,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,Foxboro,Foxboro Cyngus 872,F,0.1,0.15,N,N,NA,6,NA,Water Quality Portal (Internal DES),S-33,10/1/1998,present
FLT,GOODYEAR SLOUGH OUTFALL @ NAVAL FLEET,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,EXO 2,F,0.1,0.15,N,N,NA,2,Human-made channel draining natural slough,Water Quality Portal (Internal DES),A-96,10/1/1998,present
GOD,GODFATHER II ON SUISUN SLOUGH,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,EXO 2,F,0.1,0.15,N,N,NA,7,NA,Water Quality Portal (Internal DES),S-37,10/1/1998,present
GYS,GOODYEAR SLOUGH,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,EXO 2,F,0.1,0.15,N,N,NA,4,NA,Water Quality Portal (Internal DES),S-35,10/1/1998,present
HUN,HUNTER CUT AT MONTEZUMA SLOUGH,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,EXO 2,F,0.1,0.15,N,N,NA,7,NA,Water Quality Portal (Internal DES),S-54,10/1/1998,present
IBS,IBIS,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,EXO 2,F,0.1,0.15,N,N,NA,3,NA,Water Quality Portal (Internal DES),S-97,10/1/1998,present
MSL,MONTEZUMA SLOUGH AT ROARING R,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,EXO 2,F,0.1,0.15,N,N,NA,6,NA,Water Quality Portal (Internal DES),S-71,10/1/1998,present
NSL,NATIONAL STEEL,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,EXO 2,F,0.1,0.15,N,N,NA,5,NA,Water Quality Portal (Internal DES),S-64,10/1/1998,present
ROR,ROARING RIVER,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,6600,F,0.1,0.15,N,N,NA,4,Channel with flow control gates,Water Quality Portal (Internal DES),S-72,10/1/1998,present
SNC,SUNRISE CLUB,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,EXO 2,F,0.1,0.15,N,N,NA,5,NA,Water Quality Portal (Internal DES),S-21,10/1/1998,present
TEA,TEAL CLUB AT FRANK HORAN SLOUGH,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,6600,F,0.1,0.15,N,N,NA,5,NA,Water Quality Portal (Internal DES),S-28,10/1/1998,present
VOL,VOLANTI,"Edwin Limanto, George Benny & Asha Pluton",DES-Suisun Marsh,Edwin.Limanto@water.ca.gov; George.Benny@water.ca.gov; Asha.Pluton@water.ca.gov,Y,Active,Surface,Surface,1,1,N,YSI,EXO 2,F,0.1,0.15,N,N,NA,13,NA,Water Quality Portal (Internal DES),S-42,10/1/1998,present
BET,BETHEL ISLAND AT PIPER SLOUGH,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,0.694,N,YSI,"EXO C/T Probe (Installed 10/03/2019), 6560 (6-Series)",F,0.1,0.15,N,N,NA,18,Sensor depths vary between 0.434 and 0.933 feet,Water Data Library (Public),B9504500,5/12/2014,present
BLP,SAN JOAQUIN RIVER AT BLIND POINT,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,NA,0.623,Y,YSI,"EXO C/T Probe (installed 2/04/2020), 6560 (6-Series)",F,0.1,0.15,N,N,NA,2,"Sensor depths vary between 0.434 and 0.933 feet; on 11/16/2012 in-situ housing was constructed. Prior to that, measured water was pumped into a holding tank located in a corrugated metal housing. The pumping method resulted in erroneous water temperatures, especially during summer",Water Data Library (Public),B9502900,2/3/2010,present
DGL,DOUGHTY CUT ABOVE GRANT LINE CANAL,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1,NA,N,YSI,"600LS from 8/9/18 to present, 6560 (6-Series)",F,0.1,"0.1 (2018-Present), 0.15 (Prior to 2018)",N,N,NA,5,Sensor depths vary between 0.434 and 0.933 feet,Water Data Library (Public),B9532500,6/19/2006,8/8/2018
